feature,mean_abs_shap
spread2,0.9792719261916008
MDVP:Fo(Hz),0.5711956994456849
PPE,0.5500193719281521
MDVP:Fhi(Hz),0.5086507524396989
spread1,0.4708429246112431
DFA,0.4213204240206266
Shimmer:APQ5,0.3694470522167833
D2,0.3442836865673077
NHR,0.3264575028333999
MDVP:RAP,0.2494372849024795
MDVP:APQ,0.1830774777183669
RPDE,0.1661816489317003
MDVP:Jitter(%),0.0889118728311835
HNR,0.0830114584940671
Shimmer:APQ3,0.0678430209910644
MDVP:Shimmer(dB),0.0658968018156061
MDVP:Flo(Hz),0.0647454412378376
MDVP:Jitter(Abs),0.0597641906870045
MDVP:PPQ,0.0315051481952873
MDVP:Shimmer,0.0208803497313327
Shimmer:DDA,0.0144810293544285
Jitter:DDP,0.0017080193144986
