feature,mean_abs_shap
spread2,0.8572010660799243
spread1,0.7387325906896118
MDVP:Fo(Hz),0.5643664537914509
MDVP:Fhi(Hz),0.5592068458261
Shimmer:APQ5,0.44092463451014985
PPE,0.3866992211125207
DFA,0.38127116463693767
NHR,0.2868137372088601
MDVP:RAP,0.2601121952216209
D2,0.25488873078696955
MDVP:Jitter(Abs),0.17383926958602625
MDVP:Shimmer(dB),0.15392361818586334
RPDE,0.14412303952826985
MDVP:APQ,0.10841591401864589
Shimmer:APQ3,0.09643797764942699
MDVP:Jitter(%),0.09010878154783873
HNR,0.0773732377374476
MDVP:Flo(Hz),0.04573688581587894
MDVP:PPQ,0.02568299477199719
MDVP:Shimmer,0.024621141219085728
Shimmer:DDA,0.016067485121759213
Jitter:DDP,0.0014849929237391029
