feature,mean_abs_shap
spread1,0.7255337219548937
MDVP:RAP,0.5755068355986123
MDVP:PPQ,0.5379149942915421
MDVP:APQ,0.4848083239770541
MDVP:Jitter(%),0.4493351696537537
NHR,0.39115812921614074
PPE,0.3486329814473471
spread2,0.2494114623206244
DFA,0.24377105048759104
Shimmer:DDA,0.23499371682330777
D2,0.16987505829739555
Jitter:DDP,0.16665857533160056
MDVP:Fo(Hz),0.14593410345275556
RPDE,0.1382630435825828
Shimmer:APQ5,0.09941849933706741
MDVP:Shimmer(dB),0.0857750037139562
HNR,0.057712840976210426
MDVP:Jitter(Abs),0.03598411890639187
MDVP:Fhi(Hz),0.02176911825364948
MDVP:Shimmer,0.0191203203836126
MDVP:Flo(Hz),0.014598069838606384
Shimmer:APQ3,0.0
