feature,mean_abs_shap
PPE,0.0611207155074951
spread1,0.0486273834256482
spread2,0.0334172137949615
MDVP:Fhi(Hz),0.0244171837812031
MDVP:APQ,0.0237863222272815
Shimmer:APQ5,0.02168473914601
MDVP:Fo(Hz),0.0200038304660825
MDVP:Shimmer,0.0151641260223603
MDVP:RAP,0.014925351962368
D2,0.0140537642898809
Jitter:DDP,0.0138897034124363
MDVP:Shimmer(dB),0.0110276127628824
DFA,0.0110205803558137
NHR,0.010115129211652
Shimmer:APQ3,0.0100346614303836
MDVP:Flo(Hz),0.0073597806748706
RPDE,0.0062223545133885
Shimmer:DDA,0.0058879042914361
HNR,0.0053143776241454
MDVP:Jitter(Abs),0.0048371800909036
MDVP:Jitter(%),0.0038744961947547
MDVP:PPQ,0.0033173818886087
