feature,mean_abs_shap
PPE,0.0549835948039542
spread1,0.050288266288990656
spread2,0.03161175235513198
MDVP:Fhi(Hz),0.027159799768447707
MDVP:Fo(Hz),0.023680033167273976
MDVP:RAP,0.020825591996548407
Shimmer:APQ5,0.017170892738389596
MDVP:APQ,0.016422576287744173
Jitter:DDP,0.014272087199324174
D2,0.013911311484949734
DFA,0.012765832095197703
NHR,0.01152781724600366
MDVP:Shimmer,0.010735710339919907
MDVP:Flo(Hz),0.010059076743342159
MDVP:Shimmer(dB),0.00853253652190518
HNR,0.007618879097419719
MDVP:Jitter(Abs),0.007198299103041323
RPDE,0.006885919708054899
Shimmer:DDA,0.006057457915746377
Shimmer:APQ3,0.005903633344942933
MDVP:PPQ,0.004427070221094794
MDVP:Jitter(%),0.004420687659072998
