feature,mean_abs_shap
PPE,0.2034806149481607
spread2,0.1774042736429132
spread1,0.1533989734656956
MDVP:RAP,0.1509553850088673
DFA,0.1352743555830841
MDVP:PPQ,0.127943972985235
MDVP:Jitter(%),0.110802340120526
Jitter:DDP,0.1107909289313593
MDVP:Jitter(Abs),0.1035794906121806
D2,0.1010788945358512
MDVP:Fo(Hz),0.0912030555046831
RPDE,0.075320334257838
NHR,0.0602121948703669
MDVP:Fhi(Hz),0.0592673260377927
Shimmer:APQ3,0.053347612501291
Shimmer:DDA,0.0512024057469513
MDVP:APQ,0.0510115524435023
HNR,0.0462759529740215
Shimmer:APQ5,0.0432244628153582
MDVP:Shimmer,0.0400456291434143
MDVP:Shimmer(dB),0.0382422666188203
MDVP:Flo(Hz),0.0340569704618755
