feature,mean_abs_shap
spread2,0.17603341631654643
PPE,0.17156332946464817
MDVP:RAP,0.15712635345880635
spread1,0.15157885155719128
DFA,0.1327026779462752
MDVP:PPQ,0.12226150835523909
Jitter:DDP,0.11539838318541595
MDVP:Jitter(%),0.10947230814854435
D2,0.10027650598805161
MDVP:Jitter(Abs),0.09820538249944298
MDVP:Fo(Hz),0.09550436602260577
RPDE,0.07694568727181626
NHR,0.07681936954200183
MDVP:Fhi(Hz),0.06562919322151657
Shimmer:APQ3,0.05287693801189802
HNR,0.05273971986559171
Shimmer:DDA,0.052332248199194506
MDVP:APQ,0.049459983796850474
Shimmer:APQ5,0.03893699419968133
MDVP:Shimmer,0.03182360462042853
MDVP:Flo(Hz),0.03173925913646229
MDVP:Shimmer(dB),0.03075469776826059
